school_code,school,is_district_office,school_and_district
1942,Cascade K-8 Community School,f,Cascade K-8 Community School - Shoreline
1943,Pioneer Valley Preschool,f,Pioneer Valley Preschool - Bethel
1945,Elk Plain Head Start,f,Elk Plain Head Start - Bethel
1950,Employment Transition Program,f,Employment Transition Program - Federal Way
1951,Support School,f,Support School - Federal Way
1960,ECEAP,f,ECEAP - Mukilteo
1961,Palouse at Garfield Middle School,f,Palouse at Garfield Middle School - Palouse
1962,Garfield at Palouse High School,f,Garfield at Palouse High School - Garfield
1963,Griffin Bay School,f,Griffin Bay School - San Juan
1964,Spokane Valley Learning Academy,f,Spokane Valley Learning Academy - Central Valley
1966,Edmonds Heights K-12,f,Edmonds Heights K-12 - Edmonds
1970,Pasco Early Childhood,f,Pasco Early Childhood - Pasco
1971,Sage Hills High School,f,Sage Hills High School - Ephrata
1972,New Start,f,New Start - Highline
1973,Satellite High School,f,Satellite High School - Highline
1975,Stella Schola,f,Stella Schola - Lake Washington
2623,Manson High School,f,Manson High School - Manson
1980,Okanogan Alternative High School,f,Okanogan Alternative High School - Okanogan
1981,Developmental Pre-School,f,Developmental Pre-School - Wahluke
1982,Birth to 3 Years,f,Birth to 3 Years - Wahluke
1983,Lynden Academy,f,Lynden Academy - Lynden
1986,Muckleshoot Tribal School,f,Muckleshoot Tribal School - Muckleshoot Tribal
1987,Swiftwater Learning Center - Cle Elum,f,Swiftwater Learning Center - Cle Elum-Roslyn
1992,Skagit Academy,f,Skagit Academy - Mt Vernon
1998,Head Start,f,Head Start - Highline
2000,Keewaydin Discovery Center,f,Keewaydin Discovery Center - Kennewick
2001,Special Programs,f,Special Programs - Richland
2006,Curlew Elem & High School,f,Curlew Elem & High School - Curlew
2007,Star Elem School,f,Star Elem School - Star
2010,Satsop Elementary,f,Satsop Elementary - Satsop
2026,Poulsbo Elementary School,f,Poulsbo Elementary School - North Kitsap
2027,Green Hill Academic School,f,Green Hill Academic School - Chehalis
2031,Omak High School,f,Omak High School - Omak
2036,Larchmont,f,Larchmont - Tacoma
2039,Remann Hall Juvenile Detention Center,f,Remann Hall Juvenile Detention Center - Tacoma
2040,Anderson Island Elementary,f,Anderson Island Elementary - Steilacoom Hist.
2041,Firwood,f,Firwood - Clover Park
2045,Shrine Hospital,f,Shrine Hospital - Spokane
2049,Onion Creek Elementary,f,Onion Creek Elementary - Onion Creek
2052,Tekoa Elementary School,f,Tekoa Elementary School - Tekoa
2056,Holmes Elementary,f,Holmes Elementary - Spokane
2061,Green Lake Elementary School,f,Green Lake Elementary School - Seattle
2062,Northport Elementary School,f,Northport Elementary School - Northport
2063,John Hay Elementary School,f,John Hay Elementary School - Seattle
2065,Garfield Elementary School,f,Garfield Elementary School - Everett
2066,Fairhaven Middle School,f,Fairhaven Middle School - Bellingham
2067,Roosevelt Elementary School,f,Roosevelt Elementary School - Bellingham
2069,Madrona K-5 School,f,Madrona K-5 School - Seattle
2070,Beacon Hill International School,f,Beacon Hill International School - Seattle
2073,Machias Elementary,f,Machias Elementary - Snohomish
2074,Berney Elementary School,f,Berney Elementary School - Walla Walla
2075,Whatcom Middle School,f,Whatcom Middle School - Bellingham
2077,Damman Elementary,f,Damman Elementary - Damman
2078,Green Park Elementary School,f,Green Park Elementary School - Walla Walla
2080,Stevens Elementary School,f,Stevens Elementary School - Seattle
2081,John Stanford International School,f,John Stanford International School - Seattle
2083,Washington Elementary,f,Washington Elementary - Tacoma
2084,Stadium,f,Stadium - Tacoma
2086,Roosevelt Elementary,f,Roosevelt Elementary - Spokane
2087,Lacrosse Elementary School,f,Lacrosse Elementary School - Lacrosse Joint
2088,Lacrosse High School,f,Lacrosse High School - Lacrosse Joint
2089,Martin Luther King Jr. Elementary School,f,Martin Luther King Jr. Elementary School - Seattle
2090,Frantz Coe Elementary School,f,Frantz Coe Elementary School - Seattle
2092,Whittier Elementary School,f,Whittier Elementary School - Seattle
2094,Blix Elementary,f,Blix Elementary - Tacoma
2096,Regal Elementary,f,Regal Elementary - Spokane
2097,Great Northern Elementary,f,Great Northern Elementary - Great Northern
2103,Jefferson,f,Jefferson - Tacoma
2105,Sultan Middle School,f,Sultan Middle School - Sultan
2106,North Central High School,f,North Central High School - Spokane
2108,Stevens Elementary,f,Stevens Elementary - Spokane
2109,Willard Elementary,f,Willard Elementary - Spokane
2110,Sheridan Elementary,f,Sheridan Elementary - Spokane
2111,Jefferson Elementary,f,Jefferson Elementary - Spokane
2113,Opportunity Elementary,f,Opportunity Elementary - Central Valley
2114,Davis Elementary,f,Davis Elementary - College Place
2115,Steptoe Elementary School,f,Steptoe Elementary School - Steptoe
2116,Davis High School,f,Davis High School - Yakima
2118,Emerson Elementary School,f,Emerson Elementary School - Seattle
2120,Rising Star Elementary School,f,Rising Star Elementary School - Seattle
2121,Leschi Elementary School,f,Leschi Elementary School - Seattle
2123,Greenwood Elementary School,f,Greenwood Elementary School - Seattle
2124,Snoqualmie Middle School,f,Snoqualmie Middle School - Snoqualmie Valley
2125,Puyallup High School,f,Puyallup High School - Puyallup
2126,Everett High School,f,Everett High School - Everett
2127,Franklin Elementary,f,Franklin Elementary - Spokane
2128,Audubon Elementary,f,Audubon Elementary - Spokane
2129,Cooper Elementary,f,Cooper Elementary - Spokane
2131,Wapato Middle School,f,Wapato Middle School - Wapato
2132,Ritzville High School,f,Ritzville High School - Ritzville
2133,Paterson Elementary School,f,Paterson Elementary School - Paterson
2134,Wenatchee High School,f,Wenatchee High School - Wenatchee
2135,Starbuck School,f,Starbuck School - Starbuck
2136,Orient Elementary School,f,Orient Elementary School - Orient
2137,Elma High School,f,Elma High School - Elma
2138,Adams Elementary School,f,Adams Elementary School - Seattle
2139,Gatewood Elementary School,f,Gatewood Elementary School - Seattle
2141,Thurgood Marshall Elementary,f,Thurgood Marshall Elementary - Seattle
2142,West Woodland Elementary School,f,West Woodland Elementary School - Seattle
2143,John Muir Elementary School,f,John Muir Elementary School - Seattle
2144,Mount View Elementary,f,Mount View Elementary - Highline
2145,Grapeview Elementary & Middle School,f,Grapeview Elementary & Middle School - Grapeview
2146,Liberty Bell Jr Sr High,f,Liberty Bell Jr Sr High - Methow Valley
2148,Franklin,f,Franklin - Tacoma
2150,Sedro Woolley Senior High School,f,Sedro Woolley Senior High School - Sedro Woolley
2155,Bemiss Elementary,f,Bemiss Elementary - Spokane
2156,Adams Elementary,f,Adams Elementary - Spokane
2157,Greenacres Elementary,f,Greenacres Elementary - Central Valley
2158,Rainier Middle School,f,Rainier Middle School - Rainier
2159,Prospect Point Elementary,f,Prospect Point Elementary - Walla Walla
2160,Touchet Elem & High School,f,Touchet Elem & High School - Touchet
2161,Waterville Elementary,f,Waterville Elementary - Waterville
2162,Waterville High School,f,Waterville High School - Waterville
2166,Centralia High School,f,Centralia High School - Centralia
2167,Fern Hill,f,Fern Hill - Tacoma
2168,Sheridan,f,Sheridan - Tacoma
2169,Point Defiance,f,Point Defiance - Tacoma
2172,Lewis & Clark High School,f,Lewis & Clark High School - Spokane
2173,Arcadia Elementary,f,Arcadia Elementary - Deer Park
2174,Preston Hall Middle School,f,Preston Hall Middle School - Waitsburg
2175,Silver Beach Elementary School,f,Silver Beach Elementary School - Bellingham
2176,Garfield Elementary School,f,Garfield Elementary School - Yakima
2177,Mckinley Elementary School,f,Mckinley Elementary School - Yakima
2179,Fort Vancouver High School,f,Fort Vancouver High School - Vancouver
2180,Montesano Jr-Sr High,f,Montesano Jr-Sr High - Montesano
2181,Alki Elementary School,f,Alki Elementary School - Seattle
2182,Franklin High School,f,Franklin High School - Seattle
2183,Lawton Elementary School,f,Lawton Elementary School - Seattle
2185,Lake Forest Park Elementary,f,Lake Forest Park Elementary - Shoreline
2186,Sprague High School,f,Sprague High School - Sprague
2189,Park Lodge Elementary School,f,Park Lodge Elementary School - Clover Park
2190,Elk Ridge Elementary,f,Elk Ridge Elementary - White River
