school_code,school,is_district_office,school_and_district
5396,Cheney Open Doors,f,Cheney Open Doors - Cheney
5397,Open Doors Reengagement Program,f,Open Doors Reengagement Program - Chimacum
5398,ESD 112 Open Doors Reengagement,f,ESD 112 Open Doors Reengagement - ESD 112
5399,Step Up to College Open Doors High School,f,Step Up to College Open Doors High School - Grandview
5400,Discovery High School-Achieve,f,Discovery High School-Achieve - Longview
5401,Mead Open Doors,f,Mead Open Doors - Mead
5402,Marysville NWESD 189 Youth Engagement,f,Marysville NWESD 189 Youth Engagement - Marysville
5403,Ugrad – ESD123 Re-Engagement Program,f,Ugrad – ESD123 Re-Engagement Program - ESD 123
5404,Lakewood NWESD 189 Open Door Program,f,Lakewood NWESD 189 Open Door Program - Lakewood
5405,Interagency Open Doors,f,Interagency Open Doors - Seattle
5406,Bridges Transition,f,Bridges Transition - Seattle
5407,Woodland Primary School,f,Woodland Primary School - Woodland
5408,Woodland Intermediate School,f,Woodland Intermediate School - Woodland
5409,Woodland Middle School,f,Woodland Middle School - Woodland
5410,Futures Program,f,Futures Program - Steilacoom Hist.
5411,CPSD Open Doors Program,f,CPSD Open Doors Program - Clover Park
5412,Open Den,f,Open Den - Coupeville
5413,Educational Opportunity Center Reengagement,f,Educational Opportunity Center Reengagement - Clarkston
5414,Other Schools,f,Other Schools - Everett
5415,Mossyrock Academy,f,Mossyrock Academy - Mossyrock
5416,East Grays Harbor Open Doors,f,East Grays Harbor Open Doors - Elma
5417,Re-Engagement School (Nine Mile Falls),f,Re-Engagement School (Nine Mile Falls) - Nine Mile Falls
5418,Cascade Home-Link,f,Cascade Home-Link - Cascade
